Nikkei_price,Nikkei_volume,Nikkei_volume_c,Nikkei_volume_f,NikkeiNAV,NikkeiETF_discrep,Nikkeibeta,NikkeiBullbeta,NikkeiBearbeta,CSI_price,CSI_volume,CSI_volume_c,CSI_volume_f,CSINAV,CSIETF_discrep,CSIbeta,CSIBullbeta,CSIBearbeta
10535,335721,1,0,-0.59,0.3,0.325529,0.188052,0.960491,7350,488706,4,0,-1.38,1.05,1.036642,0.876644,1.681112
10580,311005,1,0,0.72,-0.03,0.282757,0.188052,1.123435,7305,449178,7,0,0.47,-0.04,1.037059,0.871546,1.668903
10650,320521,0,0,0.7,-0.3,0.252478,0.188052,1.263677,7370,529705,11,0,-0.93,1.8,1.050195,0.871546,1.696758
10495,321366,0,0,0.49,-0.13,0.359715,0.418175,1.263677,7230,620332,20,0.48,-1.14,1.02,1.041796,0.872051,1.696758
10470,321033,2,0,-1.18,-0.4,0.195805,0.402478,1.263677,7315,586514,21,0,1.85,0.35,1.040367,0.869519,1.696758
10085,318498,4,0,-0.82,0.18,0.218674,0.402478,1.304678,7295,526041,18,0,-0.38,0.46,1.033266,0.875411,1.694615
10020,6118,1,0,-3.54,0.03,1.198563,0.402478,3.291902,7260,502644,33,0.36,0.97,-0.98,1.027815,0.875411,1.68648
9790,409,0,0,-0.41,-0.2,1.157944,0.468925,3.291902,7340,497139,10,0,-0.89,1.01,1.031164,0.859915,1.68648
9760,684,0,0,-2.35,-0.15,1.345072,0.468925,3.383468,7435,571240,110,2.59,2.23,0.09,1.02179,0.859915,1.679305
9815,1707,0,0,-0.07,-0.38,1.297695,0.436594,3.383468,7400,503850,4,0,-0.23,-0.15,1.019659,0.866246,1.679305
9865,833,0,0.1,0.11,0.07,1.312187,0.212088,3.383468,7365,505375,10,0.3,-1.54,0.93,1.018899,0.899146,1.679305
9750,1400,1,0,0.5,0.08,1.289099,0.212088,3.41348,7260,683496,50,0,-0.78,0.27,1.018409,0.899631,1.656519
9915,306252,1,0.87,-0.48,-0.61,1.306157,0.212088,3.15079,7380,569068,37,0,0.97,0.95,1.02619,0.917495,1.697415
10505,318594,5,0,1.18,-0.11,1.430335,0.666093,3.15079,7330,526898,3,0,-0.49,0.75,1.022468,0.919592,1.697415
10440,324346,14,0,6.13,-0.28,2.189347,3.182704,3.15079,7460,580916,13,5.22,2.47,0.07,1.015482,0.937939,1.697415
10125,312676,4,0,-0.51,-0.39,2.194606,3.182704,2.999926,7425,515917,1,0,-0.94,0.56,1.012528,0.948225,1.685147
10570,287299,2,10.89,-3.18,-0.22,2.290845,3.182704,2.967584,7330,531048,20,0,-0.89,0.16,1.015579,0.98271,1.673911
10490,329759,9,28.35,3.54,0.61,2.305655,2.6033,2.967584,7310,595657,53,0,-0.84,0.73,1.015352,0.984752,1.673911
10770,299299,1,13.7,0.13,-0.29,2.303871,2.6033,2.965691,7120,632056,34,0,-1.9,0.02,1.017356,1.00114,1.651949
10910,311739,5,0,2.79,-0.41,2.38163,2.732679,2.965691,7185,743865,103,0,-0.76,1.7,1.017295,1.002724,1.686283
10865,322015,2,0,1.12,-0.23,2.280791,2.732679,2.922389,7180,559460,50,0,1.09,0.53,1.017145,1.002724,1.644761
10820,302239,1,0,-0.74,0.1,2.284074,2.732679,2.832169,7150,626075,47,0,-0.31,0.42,1.012942,1.001333,1.634793
10745,319179,0,0,-0.56,0.24,2.267286,2.775048,2.832169,7130,522264,21,0,0.93,-0.78,1.012273,1.004142,1.634793
10385,316711,0,0,-0.32,-0.14,2.270937,2.775048,2.816492,7160,457082,2,0,-0.51,0.15,1.012842,1.004142,1.607987
10380,309837,56,54.59,-3.76,0.29,2.3987,2.775048,3.19872,7085,555378,50,0,-0.83,-0.06,1.014521,1.004142,1.60811
10025,251057,3,0.42,0.05,0.19,2.363108,2.775048,3.182051,7180,643840,152,0,0.01,1.27,1.010803,1.004142,1.627984
10120,291770,0,0,-2.9,-0.35,2.471652,2.775048,3.467743,7080,19337,4,0,-0.07,-0.08,1.012948,1.004142,1.629638
10115,302725,0,0,-0.01,0.6,2.474525,2.773579,3.467743,7155,69949,44,0,1.95,-0.95,1.01466,0.998976,1.629638
10100,307352,0,0,-0.01,0.56,2.413387,2.773579,3.362377,7210,17847,12,0,0.78,-0.96,1.009431,1.015066,1.633637
10305,304355,0,0,0.43,-0.02,2.369521,2.773579,3.303899,7030,518293,0,0,-3.58,0.15,0.998336,1.015066,1.608574
10310,302130,1,0,2.16,-0.15,2.391857,2.817653,3.303899,7055,545209,46,0,0.5,0,0.99707,1.014689,1.608574
10345,324563,5,0,0.06,-0.16,2.386441,2.817653,3.312023,7095,544794,42,0,0.07,0.51,0.986466,1.020951,1.611701
10225,306535,1,0.01,0.5,-0.32,2.376788,2.817653,3.349169,7005,702869,194,0,-0.14,-0.63,0.98718,1.020951,1.578762
10290,319171,6,0,-1.59,0.12,2.368966,2.817653,3.328351,7020,475207,1,0,0.09,-0.5,0.986583,1.021959,1.580338
10170,13,0,0,0.53,0.22,2.370698,2.696956,3.328351,7050,497296,5,0,1.24,-1.31,0.982116,1.006405,1.58027
10365,18,0,0.1,1.13,-2.05,2.371037,2.796714,3.328351,7045,512801,1,0,-0.52,-0.86,0.982117,1.003036,1.58027
10390,1314,1,0,-0.19,0.01,2.216193,2.796714,2.947988,7035,473505,21,0,-0.21,-0.8,0.980389,1.005261,1.580749
10395,23,0,0,0.09,0.16,2.162146,2.796714,2.846237,7090,449690,4,0,0.55,-0.57,0.973718,1.019105,1.584172
10300,41,0,0,0.55,-0.34,2.161879,2.758144,2.846237,7085,443654,5,0,0.4,-1.03,0.959988,0.996584,1.584172
10265,317,0,0,-0.5,-0.76,2.108426,2.761058,2.846237,7085,456831,5,0,-0.42,-0.61,0.960058,0.985179,1.587801
10445,268,0,0,-0.93,-0.16,2.00704,2.761058,2.453431,7045,493299,19,0,0.07,-1.24,0.958147,0.985179,1.585719
10455,905,1,0,1.56,0.03,1.959144,2.569927,2.453431,7050,533172,31,0,-1.01,-0.16,0.951901,0.974039,1.585719
10475,326,0,0,0.11,0.02,1.953941,2.569927,2.467845,7000,481002,29,0,-0.06,-0.81,0.955103,0.974039,1.512309
10555,4,0,0,0.32,-0.11,1.913995,2.525798,2.467845,7030,552544,87,0,-0.04,-0.34,0.972442,0.974014,1.56684
10740,348086,45,0,1.4,-0.74,1.906903,2.525798,2.532814,7065,543162,18,0,0.8,-0.64,0.975391,0.941051,1.569928
10530,306269,1,0,0.95,0.05,1.915572,2.537141,2.532814,7260,583992,134,0,3.31,-1.18,0.98506,0.952507,1.569928
10300,318224,6,0,-1.53,-0.39,1.922128,2.537141,2.274898,7270,487464,60,0.17,-0.26,-0.78,0.993462,0.952507,1.564495
10325,318431,5,0,-2.3,-0.27,1.907792,2.686618,2.274898,7235,555619,95,0,-0.13,-1.12,1.005193,0.956977,1.587915
10415,318859,4,0,0.47,-0.5,1.907987,2.622173,2.274898,7270,481545,53,0,0.39,-1.03,1.009489,0.946022,1.59034
10460,302768,0,0,0.21,0.16,1.799049,2.296046,2.274898,7170,480351,0,0,-1.84,-0.57,1.001904,0.896304,1.561777
10405,300408,4,0,0.91,-0.31,1.765215,2.245307,2.274898,7130,500106,0,0,-0.86,-0.26,0.998231,0.89277,1.547307
10290,258090,0,0,-1.01,0.18,1.767127,2.245307,2.244893,7135,425026,3,0,0.08,-0.27,0.998423,0.89277,1.53071
10010,310954,0,0,-0.38,-0.55,1.775887,2.245307,2.242765,7140,438069,0,0,0.63,-0.83,0.999789,0.89277,1.532401
9885,311400,2,0,-3.54,0.29,1.708642,2.245307,1.829393,7080,473554,40,0,-2.58,0.95,0.989216,0.885259,1.478235
9920,308724,0,0,-1.05,0.09,1.717686,2.245307,1.826655,7015,604117,49,0,0.11,-0.09,0.989951,0.885259,1.474074
9630,305185,0,0,0.49,-0.05,1.712095,2.245307,1.850833,7075,590856,83,0,1.3,-0.53,0.991802,0.885259,1.479556
9720,316839,5,0,-3.2,0.24,1.762557,2.245307,1.974825,6955,519842,17,0,-0.55,-1.67,0.986397,0.885259,1.481546
9945,408652,102,0,1.08,0.1,1.765475,2.159259,1.974825,7015,525485,29,0,0.37,-1.19,0.989007,0.8604,1.481546
10045,508415,201,0,2.32,0.09,1.7601,2.105736,1.974825,7015,435677,10,0,-0.76,-0.43,0.989377,0.775093,1.481546
10025,320554,19,0,1.31,-0.21,1.762436,2.033546,1.974825,7015,436468,0,0,-0.45,0.01,0.989402,0.774787,1.481546
10110,306302,0,0,-0.75,0.35,1.743887,2.029145,1.974825,7040,414566,3,0,0.42,-0.05,0.994324,0.760955,1.481546
9290,300273,0,0,1.11,0.09,1.725875,2.029145,1.996248,6965,482607,30,0,-0.59,-0.53,0.987733,0.739616,1.474758
9500,317954,3,0,-7.92,-0.12,1.962122,2.029145,2.430165,6995,457248,25,0,0.93,-1.02,0.929535,0.754339,1.254294
9545,4445,0,0,2.41,-0.27,1.968526,1.893009,2.430165,7010,442376,13,0,1.13,-1.91,0.94184,0.665718,1.244197
9700,9857,0,0,0.14,0.06,1.962799,1.891935,2.430165,7050,438939,1,0,-0.62,-0.74,0.942368,0.66498,1.244197
9740,14724,7,0,1.58,0.11,1.953242,1.880813,2.430165,7010,465678,14,0,-0.45,-0.85,0.916217,0.65166,1.209388
9775,6740,2,0,0.07,0.45,1.936105,1.856291,2.430165,7010,427679,12,0,-0.39,-0.46,0.901132,0.648508,1.209388
9810,329609,0,0,0.64,0.17,1.90907,1.802702,2.430165,7020,669870,6,0,-0.73,0.41,0.897,0.640214,1.209388
9710,333510,2,0,0.6,-0.07,1.906115,1.804512,2.430165,7080,658795,12,0,1.63,-0.36,0.911436,0.605878,1.247106
9530,314492,2,0,-0.69,-0.4,1.909094,1.804512,2.421721,7070,651993,10,0,0.71,-1.2,0.911213,0.605878,1.247163
9515,545670,200,0,-1.91,-0.34,1.829154,1.804512,2.19895,7130,804061,175,35.3,0.87,-1.22,0.889693,0.605878,1.204363
9425,332799,3,0,-0.6,0.1,1.778641,1.660902,2.19895,7090,729400,64,0,-0.69,-1.09,0.877546,0.591565,1.204187
9800,332384,2,0,-1.07,0.22,1.77647,1.660902,2.198544,7090,644226,8,0,0.16,-1.25,0.849588,0.591565,1.160176
9970,534525,12,0,3.93,0.26,1.828064,1.853915,2.198544,7110,687152,25,0,-0.86,-0.11,0.82877,0.687509,1.160176
10140,555555,6,0,2.56,-0.54,1.832136,1.775938,2.198544,7120,714650,17,0,2.13,-2.06,0.82885,0.686152,1.160176
10150,338936,5,0,0.67,0.48,1.839363,1.790592,2.198544,7235,663298,33,2.2,0.42,-0.89,0.827575,0.669254,1.160176
10240,305157,1,0,0.9,-0.32,1.83902,1.791829,2.198544,7200,686667,28,2.16,-1.01,-0.37,0.826004,0.675913,1.185399
10290,983850,503,0,0.74,-0.18,1.840642,1.789035,2.198544,7155,683056,19,0,-0.12,-0.87,0.838299,0.683391,1.185399
10350,358779,0,0,0.01,0.3,1.841375,1.778275,2.198544,7160,578496,28,0,-0.45,-0.35,0.848114,0.682321,1.174586
10300,412801,4,0,1.13,-0.25,1.835776,1.778275,2.2136,7100,598986,8,0,-0.54,-0.65,0.848724,0.682321,1.167469
10380,417024,1,0,-0.21,-0.52,1.836439,1.778275,2.198859,7115,583609,4,0,0.38,-0.82,0.848841,0.682321,1.168127
10300,348298,3,0,0.61,-0.36,1.831618,1.778275,2.217136,7135,614838,27,0,0.25,-0.78,0.843016,0.689452,1.170953
10320,332786,1,0,-0.94,-0.18,1.833098,1.778275,2.198122,7105,602544,5,0,-0.88,-0.32,0.839674,0.689452,1.161683
10220,398808,2,0,-0.06,0.07,1.83321,1.771072,2.198122,7115,651605,27,0,0.23,-0.4,0.84861,0.722782,1.172559
10375,263754,2,0,-1.37,0.48,1.797916,1.709114,2.198122,7150,640211,3,0.01,1.02,-0.92,0.848463,0.722916,1.172559
10235,381990,22,0,1.78,0.22,1.79206,1.709114,2.23191,6990,667700,8,0,-1.69,-1.47,0.842642,0.722916,1.17154
10190,283031,30,0,-1.31,0.18,1.796733,1.709114,2.213182,7000,867531,109,0,-0.48,-0.86,0.842707,0.618424,1.173161
10275,327783,2,0,0.81,-1.06,1.796319,1.709114,2.211551,7015,635556,1,0,-0.64,0,0.84253,0.618424,1.164967
10130,349147,2,0,0.25,-0.48,1.792387,1.70611,2.211551,6925,494955,23,0,-1.63,0.35,0.852831,0.617273,1.184093
9985,465807,4,0,-1.46,-0.43,1.79716,1.70611,2.214303,6880,472380,3,0,0.31,-0.61,0.853143,0.617273,1.183653
10070,480462,0,0,-1.86,0.01,1.776745,1.70611,2.166202,6940,529222,1,0,1.02,-0.76,0.828841,0.617273,1.142298
10100,510108,2,0,1.04,-0.18,1.779016,1.691725,2.166202,6915,519184,46,0,-0.2,-0.92,0.812561,0.595482,1.142298
10355,396621,3,0,0.03,0.09,1.757289,1.644083,2.166202,6920,413020,7,0,-0.15,-0.7,0.810489,0.572809,1.142298
10410,264508,1,0,2.37,0.25,1.77548,1.67018,2.166202,6930,440453,0,0,0.45,-1,0.815241,0.572738,1.129825
10395,437649,27,0,0.66,0.12,1.769491,1.664998,2.166202,6960,468603,44,0,0.46,-1.04,0.815323,0.572709,1.129825
10350,418650,6,0,-0.06,0.04,1.769489,1.669874,2.166202,6945,456615,9,0,-1.09,-0.16,0.821773,0.576596,1.111018
10500,370469,0,0,0.04,-0.44,1.767155,1.690131,2.166202,6980,478508,52,0,0.3,0.04,0.826712,0.572516,1.114924
10315,427465,2,0,1.01,0,1.768215,1.62832,2.166202,7015,415599,9,0,2.04,-1.47,0.826377,0.566496,1.115252
10370,361344,0,0,-1.85,0.09,1.773339,1.62832,2.133078,7200,462684,70,61.42,1.74,-0.59,0.826235,0.560425,1.142335
10220,406987,17,0,0.97,-0.34,1.768806,1.62832,2.145008,7260,384063,33,2.52,1.27,-1.02,0.825486,0.560425,1.150635
10285,337369,0,0,-1.51,-0.28,1.74352,1.60752,2.145008,7285,442391,84,2.17,-0.26,-0.43,0.817286,0.560446,1.150923
10275,367792,0,0,0.33,0.03,1.74343,1.576067,2.145008,7315,414993,8,0,0.7,-0.72,0.80682,0.555249,1.140679
10260,394898,0,0,0.32,-0.39,1.726577,1.576067,2.127137,7270,448503,0,0,-0.18,-1.15,0.783996,0.555249,1.084997
10290,422058,7,0,-0.56,0.02,1.721683,1.582693,2.127137,7240,451181,14,0,-0.64,-0.92,0.782787,0.5593,1.084997
10240,429106,23,0,0.52,-0.21,1.715753,1.582693,2.133518,7245,463546,100,0,0.08,-0.93,0.691602,0.5593,0.841048
10150,387799,0,0,-0.23,-0.46,1.716286,1.582693,2.118581,7150,488454,20,0,-1.25,-1,0.718404,0.597762,0.824644
10255,373880,2,0.36,-1.08,-0.26,1.718353,1.582693,2.113299,7130,478170,2,0,-0.32,-0.96,0.73347,0.638789,0.823938
10310,396203,1,0,2.28,-1.47,1.709707,1.582693,2.128195,7140,433367,3,0,0.8,-1.61,0.723275,0.595094,0.826237
10400,325499,0,0,-0.07,-0.87,1.709565,1.58197,2.128195,7150,439741,11,0,-0.3,-1.17,0.723064,0.595966,0.826237
