DATE,KODEX 200 End_price,KODEX 200 Volume,KODEX 200 high_price,KODEX 200 low_price,KODEX 200 start_price,AD,STO,Force,Q-stick,Q-stick,CCI,Williams
2016-04-07,10945,375741,10920,10840,10920,-375741,28.65415993,-9449982,3.333333333,-80,41.78675237,-28.57142857
2016-04-08,10915,386183,10955,10865,10915,300364.5556,31.97962898,1767325,5,30,68.70262275,0
2016-04-11,10770,416683,10975,10890,10940,-171575.3529,-66.19535761,-861998,8.333333333,-25,59.83961341,-14.63414634
2016-04-12,10795,379679,10945,10770,10915,-379679,37.05667491,-12159338,-34.16666667,-145,-10.37269824,-85.36585366
2016-04-14,10730,455993,10825,10725,10820,182397.2,21.45775893,-9884319,-40,-25,-44.27078519,-85.71428571
2016-04-15,10760,399903,10875,10730,10875,-399903,-33.33407243,-8319720,-65,-145,-46.9370012,-100
2016-04-18,10695,356105,10795,10725,10750,0,-13.94013304,-14292933,-50,10,-59.45422256,-86.04651163
2016-04-19,10835,338381,10770,10690,10760,-296083.375,-26.08544909,-16191788,-65.83333333,-65,-77.49550937,-100
2016-04-20,10810,382295,10835,10725,10820,382295,18.69491749,5523163,-59.16666667,15,-20.11029883,-44
2016-04-21,10765,380817,10895,10790,10870,-235743.8571,-36.4156924,1339113,-45,-60,6.462125024,-47.72727273
2016-04-22,10770,431607,10840,10710,10825,-66401.07692,43.45539821,2653389,-50.83333333,-60,-24.61292332,-50
2016-04-25,10825,384926,10810,10735,10765,-25661.73333,14.62656938,901685,-25.83333333,5,-15.38123151,-46.42857143
2016-04-26,10805,380798,10830,10755,10795,330024.9333,0.954143637,9489416,-22.5,30,11.69117455,-7.142857143
2016-04-27,10725,403784,10885,10765,10845,-134594.6667,-31.30977131,-2829980,-18.33333333,-40,21.54535605,-21.42857143
2016-04-28,10625,384176,10870,10705,10855,-291042.4242,26.76830677,-7072711,-42.5,-130,-9.341654592,-78.57142857
2016-04-29,10620,387452,10735,10620,10720,-353760.5217,25.70875665,-10937288,-48.33333333,-95,-67.79755035,-100
2016-05-02,10420,390670,10635,10525,10625,284123.6364,4.700574241,-11712884,-39.16666667,-5,-98.69171791,-100
2016-05-03,10610,400156,10635,10420,10625,-400156,0.263031108,-31907902,-74.16666667,-205,-147.5616062,-100
2016-05-04,10520,442059,10610,10420,10475,442059,28.73602237,-13494524,-56.66666667,135,-98.16888757,-53.08641975
2016-05-09,10535,409987,10620,10500,10605,-273324.6667,-72.02454513,-14727474,-64.16666667,-85,-80.64794747,-75.30864198
2016-05-10,10600,389575,10560,10445,10560,220194.5652,42.29912637,-5809709,-46.66666667,-25,-85.40309331,-70.12987013
2016-05-11,10665,402324,10600,10490,10535,402324,-19.81727575,-188827,-20,65,-41.57597777,-40.98360656
2016-05-12,10685,423186,10680,10610,10640,241820.5714,-7.654508612,21318831,-15,25,22.68472122,0
2016-05-13,10645,420000,10690,10585,10655,380000,-3.718338399,6200589,24.16666667,30,34.02895574,0
2016-05-16,10610,417658,10685,10630,10685,-189844.5455,30.80547112,10239091,-5,-40,41.15470115,-15.09433962
2016-05-17,10510,432929,10670,10595,10645,-259757.4,38.74197906,6039863,3.333333333,-35,25.71650932,-45.45454545
2016-05-18,10320,434349,10615,10485,10615,-267291.6923,4.523809524,-7877329,-10,-105,-25.97004371,-100
2016-05-19,10245,436501,10495,10310,10495,-389311.7027,-0.476190476,-29965785,-50,-175,-120.0350389,-100
2016-05-20,10380,486576,10370,10195,10355,-208532.5714,-11.19047619,-38944425,-72.5,-110,-168.7692193,-100
2016-05-23,10475,431404,10380,10205,10240,431404,-37.77777778,-23955253,-54.16666667,140,-122.4006883,-69.31818182
