,Price,Force,Q-stick,NAV,ETF,AD,Q-stick,STO,KODEX,KOSDAQ,WTI,Dollar
2016-04-07,0,9658162,0,-0.23,-0.15,-201540,4.166666667,13.41706924,0.508854061,-0.830258303,1.529902643,0
2016-04-08,0,8224701,-35,-1.54,0.93,-33691.66667,-5.833333333,47.98497048,0.061025224,0.959342165,2.309782609,-0.338123415
2016-04-11,1,-2610207,-70,-0.78,0.27,-210306.4615,-5.833333333,18.25272331,-0.203832042,-0.274851122,-0.409276944,0.168776371
2016-04-12,0,3093201,110,0.97,0.95,474223.3333,20,-5.261911528,0.081466395,-1.346332405,2.913907285,-0.636942675
2016-04-14,1,-13029339,-50,-0.49,0.75,121591.8462,8.333333333,-49.22019694,0.788037987,0.231588698,1.820546164,-0.12755102
2016-04-15,0,5601427,95,2.47,0.07,180284.2759,8.333333333,-4.493565542,2,-0.605778192,1.913265306,0.84317032
2016-04-18,0,5527633,-35,-0.94,0.56,27153.52632,2.5,-16.2079949,-0.079270709,0.278810409,0,-0.764655905
2016-04-19,0,9791137,-95,-0.89,0.16,-531048,-7.5,36.72771673,-0.338039372,-0.607760636,-6.089309878,0.380871773
2016-04-20,0,-6249123,-30,-0.84,0.73,-270753.1818,-0.833333333,25.31863848,0.138999206,1.292108906,3.018372703,-1.242502142
2016-04-21,1,-24998271,-275,-1.9,0.02,-361174.8571,-65,15.23091918,-0.338712891,-0.231267345,0.392156863,-0.128700129
2016-04-22,0,-30431842,-40,-0.76,1.7,202872.2727,-63.33333333,1.201615149,0.771055753,-0.418021366,5.43881335,-0.171895144
2016-04-25,0,-27379883,-20,1.09,0.53,293050.4762,-82.5,-54.2481203,-0.37705894,0.046425255,-0.747198007,0.68288519
2016-04-26,0,-21046421,15,-0.31,0.42,190544.5652,-74.16666667,15.95238095,-0.119213193,0.508083141,-0.752823087,0.593975392
2016-04-27,1,-20752849,-15,0.93,-0.78,-247388.2105,-60.83333333,23.94383394,0.297147385,-0.185099491,0.375,0.127118644
2016-04-28,0,6007771,25,-0.51,0.15,-105480.4615,-51.66666667,1.48962149,0,-0.745920746,2.200488998,-0.127280441
2016-04-29,1,-11993144,-90,-0.83,-0.06,-416533.5,-20.83333333,-25.21367521,-2.894415002,-0.941176471,1.088270859,-0.769559641
2016-05-02,0,799276,100,0.01,1.27,643840,2.5,8.062678063,-0.327198364,-0.047080979,2.014218009,0
2016-05-03,1,4168986,-100,-0.07,-0.08,-19337,-10.83333333,-45.50807217,-0.762415001,-1.919385797,-1.809408926,-0.214224507
2016-05-04,1,7307277,5,1.95,-0.95,2119.666667,-12.5,24.36120887,0.308134758,1.790763431,-0.363196126,0.384122919
2016-05-09,0,4761102,10,0.78,-0.96,10332.47368,-8.333333333,-39.92393839,-0.516208961,-0.855513308,-2.101359703,1.097509498
2016-05-10,1,-5566776,-170,-3.58,0.15,-341314.9024,-40.83333333,32.24286206,-0.165460186,0.142382534,2.29468599,0.961538462
2016-05-11,1,-15073691,30,0.5,0,77887,-20.83333333,37.34090127,0.391429749,0.613207547,-2.729528536,0.540540541
2016-05-12,0,-10328599,30,0.07,0.51,181598,-32.5,-35.45520904,-0.103114044,0.60947023,1.466992665,-0.417536534
2016-05-13,1,-24029476,-80,-0.14,-0.63,60245.91429,-29.16666667,11.19842616,-0.22736668,0.187178287,2.965599051,-0.461409396
2016-05-16,1,-22800172,-55,0.09,-0.5,-22628.90476,-39.16666667,28.32558005,-0.791666667,-0.375763269,0.940070505,0.831946755
2016-05-17,0,-1157848,45,1.24,-1.31,229521.2308,-33.33333333,-1.405342625,0.145620969,-0.329877474,1.046511628,0.702189178
2016-05-18,0,-4396694,-50,-0.52,-0.86,-26989.52632,-13.33333333,-21.66666667,0.062370062,-0.951474786,1.938426454,-0.53986711
2016-05-19,1,-9702056,-45,-0.21,-0.8,101465.3571,-25.83333333,7.36378564,-0.564499268,-1.841085271,0.454029512,0.741962077
2016-05-20,0,7896176,45,0.55,-0.57,136862.1739,-23.33333333,-3.782156541,-0.272536688,-0.732064422,-2.204176334,0.695865739
2016-05-23,0,6026901,5,0.4,-1.03,96446.52174,-9.166666667,-8.835066594,0,1.300578035,2.045454545,-0.040950041
2016-05-24,0,3043125,-5,-0.42,-0.61,-290710.6364,-0.833333333,8.895552224,0.271795944,0.906921241,-1.499423299,-0.659521847
2016-05-25,1,-390466,-55,0.07,-1.24,-295979.4,-17.5,5.797101449,-0.715940198,-0.624399616,-0.115473441,0.817661488
2016-05-26,0,1089716,-10,-1.01,-0.16,-533172,-10.83333333,-15.46203394,1.391196013,1.045627376,2.257336343,-0.658436214
2016-05-27,1,-8666894,-60,-0.06,-0.81,-211640.88,-13.33333333,-15.10590858,-0.187226961,-0.621712099,1.116071429,-0.206185567
2016-05-30,1,-4907976,-10,-0.04,-0.34,-29081.26316,-22.5,-4.47788926,0.517384106,0.428571429,-1.242937853,-0.082542303
2016-05-31,1,-1105842,35,0.8,-0.64,259773.1304,-17.5,-15.38461538,-0.22816843,0.284900285,0,0.940310711
2016-06-01,1,25616238,190,3.31,-1.18,490553.28,15,-20.51282051,0.802469136,0.754005655,1.006711409,0.040866367
2016-06-02,0,26057994,-30,-0.26,-0.78,-97492.8,19.16666667,-4.774114774,0.061690315,0.235072873,-1.360544218,-0.040883074
2016-06-03,1,26978681,-50,-0.13,-1.12,-72472.04348,12.5,54.04151404,0.184729064,0.046992481,0.338983051,-0.328137818
2016-06-07,0,27034232,20,0.39,-1.03,-96309,25.83333333,19.41434045,0.163934426,-0.047014575,0.337837838,-0.329218107
2016-06-08,0,13625078,-65,-1.84,-0.57,-313272.3913,16.66666667,3.475643131,1.31445905,0.561009818,0.892857143,-1.75879397
2016-06-09,1,-13151458,-40,-0.86,-0.26,-147090,4.166666667,21.01532567,1.001001001,0.27972028,1.861993428,-0.589721988
2016-06-10,1,-13701360,5,0.08,-0.27,-303590,-26.66666667,-24.33820968,-0.040056079,-0.327408793,1.827956989,-0.04214075
2016-06-13,0,-9373958,15,0.63,-0.83,-219034.5,-19.16666667,-26.06951872,-0.402171727,0.650557621,-1.528384279,0.794314381
