DATE,Price,Beta, KOSDAQ150 Volume,CCI,NAV,Q-stick,Gold,WTI,KODEX,STOXX
2016-04-07,1,1.139777,375741,41.78675237,-1.02,3.333333333,0.36900369,1.529902643,0.508854061,-2.100161551
2016-04-08,0,1.140921,386183,68.70262275,1.22,5,0.052687039,2.309782609,0.061025224,0.428954424
2016-04-11,0,1.140995,416683,59.83961341,-0.34,8.333333333,0.419727177,-0.409276944,-0.203832042,-1.193705914
2016-04-12,1,1.143387,379679,-10.37269824,-1.3,-34.16666667,0.987012987,2.913907285,0.081466395,1.126609442
2016-04-14,0,1.143414,455993,-44.27078519,-0.06,-40,0.465356774,1.820546164,0.788037987,0.480512547
2016-04-15,1,1.143558,399903,-46.9370012,-0.11,-65,-1.415836392,1.913265306,2,3.701799486
2016-04-18,0,1.143463,356105,-59.45422256,-0.04,-50,-0.421274355,0,-0.079270709,0.409626216
2016-04-19,1,1.143716,338381,-77.49550937,-0.11,-65.83333333,0.157728707,-6.089309878,-0.338039372,-1.139306059
2016-04-20,0,1.145237,382295,-20.11029883,0.87,-59.16666667,0.105042017,3.018372703,0.138999206,1.429300664
2016-04-21,0,1.145066,380817,6.462125024,-0.47,-45,0.988039522,0.392156863,-0.338712891,1.260080645
2016-04-22,1,1.144248,431607,-24.61292332,0.08,-50.83333333,0.56876939,5.43881335,0.771055753,1.293532338
2016-04-25,1,1.144108,384926,-15.38123151,-0.23,-25.83333333,-0.572022881,-0.747198007,-0.37705894,0.198609732
2016-04-26,0,1.144221,380798,11.69117455,0.34,-22.5,-0.839014158,-0.752823087,-0.119213193,0.049627792
2016-04-27,0,1.144034,403784,21.54535605,-0.16,-18.33333333,0,0.375,0.297147385,-0.149105368
2016-04-28,0,1.144741,384176,-9.341654592,-1.11,-42.5,0.469728601,2.200488998,0,-0.349127182
2016-04-29,0,1.144787,387452,-67.79755035,-0.66,-48.33333333,0.725388601,1.088270859,-2.894415002,-0.551654965
2016-05-02,0,1.144791,390670,-98.69171791,0.12,-39.16666667,1.731160896,2.014218009,-0.327198364,-0.251382604
2016-05-03,1,1.147155,400156,-147.5616062,-1.8,-74.16666667,1.504513541,-1.809408926,-0.762415001,-1.947719118
2016-05-04,0,1.150347,442059,-98.16888757,1.52,-56.66666667,-0.402819738,-0.363196126,0.308134758,0.255623722
2016-05-09,1,1.150632,409987,-80.64794747,-0.49,-64.16666667,-0.709939148,-2.101359703,-0.516208961,-1.875
2016-05-10,1,1.149419,389575,-85.40309331,-0.43,-46.66666667,-0.050735667,2.29468599,-0.165460186,-0.104275287
2016-05-11,1,1.144386,402324,-41.57597777,1.2,-20,-1.076923077,-2.729528536,0.391429749,0.052110474
2016-05-12,1,1.14451,423186,22.68472122,0.48,-15,0.408580184,1.466992665,-0.103114044,1.031459515
2016-05-13,0,1.144539,420000,34.02895574,0.27,24.16666667,0.102040816,2.965599051,-0.22736668,-1.412133891
2016-05-16,0,1.144722,417658,41.15470115,-0.27,-5,0.203665988,0.940070505,-0.791666667,-0.314795383
2016-05-17,0,1.144247,432929,25.71650932,-0.39,3.333333333,0.152516523,1.046511628,0.145620969,-0.157645822
2016-05-18,0,1.144276,434349,-25.97004371,-0.93,-10,0.202942669,1.938426454,0.062370062,0.833767587
2016-05-19,0,1.142157,436501,-120.0350389,-2.02,-50,-0.56122449,0.454029512,-0.564499268,-0.41862899
2016-05-20,1,1.141943,486576,-168.7692193,-0.78,-72.5,-1.344364012,-2.204176334,-0.272536688,-0.578947368
2016-05-23,1,1.143809,431404,-122.4006883,1.44,-54.16666667,-0.207253886,2.045454545,0,0.052603893
2016-05-24,0,1.143485,420304,-31.17138278,0.7,-43.33333333,-0.20768432,-1.499423299,0.271795944,0.782881002
2016-05-25,1,1.143605,408336,-44.66457952,-0.47,-45,-0.3125,-0.115473441,-0.715940198,-1.10817942
2016-05-26,0,1.144556,389982,12.1009132,0.76,-17.5,-1.587301587,2.257336343,1.391196013,2.670775552
2016-05-27,1,1.145005,486907,-2.950015672,-0.96,0.833333333,0.36900369,1.116071429,-0.187226961,1.467611336
2016-05-30,1,1.144624,395871,15.08555779,0.59,26.66666667,-0.850611377,-1.242937853,0.517384106,0
2016-05-31,1,1.144684,417621,45.95195011,0.77,2.5,-1.56587473,0,-0.22816843,0.653594771
2016-06-01,1,1.143374,426662,93.7289414,1.21,7.5,0.697050938,1.006711409,0.802469136,1.192250373
