DATE,Price,KOSDAQ,EURO,WTI,Dollar,AD,STO,CCI,NAV,ETF
2016-04-07,1,-0.830258303,-2.100161551,1.529902643,0,-1444.384615,29.30262531,276.6072882,-0.07,-0.38
2016-04-08,1,0.959342165,0.428954424,2.309782609,-0.338123415,208.25,-37.27697601,312.6398855,0.11,0.07
2016-04-11,0,-0.274851122,-1.193705914,-0.409276944,0.168776371,818.8679245,-11.16365127,110.6402283,0.5,0.08
2016-04-12,1,-1.346332405,1.126609442,2.913907285,-0.636942675,306252,14.67679497,305.8379747,-0.48,-0.61
2016-04-14,1,0.231588698,0.480512547,1.820546164,-0.12755102,279976.5455,37.35752383,286.4211675,1.18,-0.11
2016-04-15,0,-0.605778192,3.701799486,1.913265306,0.84317032,324346,-47.94261717,344.3855798,6.13,-0.28
2016-04-18,0,0.278810409,0.409626216,0,-0.764655905,-312676,-30.70935874,359.020359,-0.51,-0.39
2016-04-19,1,-0.607760636,-1.139306059,-6.089309878,0.380871773,-287299,52.91243878,355.3275473,-3.18,-0.22
2016-04-20,0,1.292108906,1.429300664,3.018372703,-1.242502142,329759,30.54387542,165.5411951,3.54,0.61
2016-04-21,1,-0.231267345,1.260080645,0.392156863,-0.128700129,-299299,-59.93951157,81.97487306,0.13,-0.29
2016-04-22,1,-0.418021366,1.293532338,5.43881335,-0.171895144,288647.2222,-5.963529751,-84.21034331,2.79,-0.41
2016-04-25,0,0.046425255,0.198609732,-0.747198007,0.68288519,303614.1429,-39.40747143,-178.4301495,1.12,-0.23
2016-04-26,0,0.508083141,0.049627792,-0.752823087,0.593975392,-245058.6486,7.402319902,-345.0654513,-0.74,0.1
2016-04-27,0,-0.185099491,-0.149105368,0.375,0.127118644,248250.3333,18.44993895,-301.4215055,-0.56,0.24
2016-04-28,0,-0.745920746,-0.349127182,2.200488998,-0.127280441,-13770.04348,12.57563025,-277.6193556,-0.32,-0.14
2016-04-29,0,-0.941176471,-0.551654965,1.088270859,-0.769559641,-150492.2571,54.68113912,-217.3055174,-3.76,0.29
2016-05-02,0,-0.047080979,-0.251382604,2.014218009,0,232460.1852,22.41923436,-96.57613841,0.05,0.19
2016-05-03,1,-1.919385797,-1.947719118,-1.809408926,-0.214224507,-158042.0833,-22.05288176,24.3628097,-2.9,-0.35
2016-05-04,0,1.790763431,0.255623722,-0.363196126,0.384122919,166010.4839,29.00017181,8.761526553,-0.01,0.6
2016-05-09,0,-0.855513308,-1.875,-2.101359703,1.097509498,280625.7391,-50.52435487,26.77019218,-0.01,0.56
2016-05-10,1,0.142382534,-0.104275287,2.29468599,0.961538462,-142032.3333,22.05373013,49.38263738,0.43,-0.02
2016-05-11,1,0.613207547,0.052110474,-2.729528536,0.540540541,302130,-29.71040074,-4.264681031,2.16,-0.15
2016-05-12,1,0.60947023,1.031459515,1.466992665,-0.417536534,-324563,-40.84828562,77.06770237,0.06,-0.16
2016-05-13,0,0.187178287,-1.412133891,2.965599051,-0.461409396,306535,11.01425111,93.4586969,0.5,-0.32
2016-05-16,1,-0.375763269,-0.314795383,0.940070505,0.831946755,-270067.7692,5.495131744,42.44767973,-1.59,0.12
2016-05-17,0,-0.329877474,-0.157645822,1.046511628,0.702189178,-2.6,39.4414919,13.06442218,0.53,0.22
2016-05-18,1,-0.951474786,0.833767587,1.938426454,-0.53986711,-5.142857143,-6.016759017,-61.08689259,1.13,-2.05
2016-05-19,1,-1.841085271,-0.41862899,0.454029512,0.741962077,1051.2,22.50814891,74.55281835,-0.19,0.01
2016-05-20,1,-0.732064422,-0.578947368,-2.204176334,0.695865739,-8.161290323,-39.67125159,88.30882114,0.09,0.16
2016-05-23,0,1.300578035,0.052603893,2.045454545,-0.040950041,37.72,-6.801376362,78.85552402,0.55,-0.34
2016-05-24,0,0.906921241,0.782881002,-1.499423299,-0.659521847,-317,6.348781937,102.1051489,-0.5,-0.76
2016-05-25,1,-0.624399616,-1.10817942,-0.115473441,0.817661488,222.0571429,59.40134143,164.5168894,-0.93,-0.16
2016-05-26,1,1.045627376,2.670775552,2.257336343,-0.658436214,402.2222222,-10.40431011,80.95082775,1.56,0.03
2016-05-27,1,-0.621712099,1.467611336,1.116071429,-0.206185567,-326,-27.49449407,-50.70329335,0.11,0.02
2016-05-30,1,0.428571429,0,-1.242937853,-0.082542303,0,-9.912023798,-58.87216376,0.32,-0.11
