,Price,AD,STO,Q-stick,ETF,KOSDAQ,Dollar,STOXX,CSI
2016-04-07,1,-38472,61.76470588,8.333333333,0.2,-0.830258303,0,-2.100161551,-0.472972973
2016-04-08,0,-1147.956522,0.793650794,-7.5,-0.05,0.959342165,-0.338123415,0.428954424,-0.475220638
2016-04-11,0,2260.097561,-10.88183422,11.66666667,0.37,-0.274851122,0.168776371,-1.193705914,-1.446280992
2016-04-12,1,-84747,21.10799876,22.5,-0.22,-1.346332405,-0.636942675,1.126609442,1.62601626
2016-04-14,1,2502.923077,-10.61252044,29.16666667,0.19,0.231588698,-0.12755102,0.480512547,-0.68212824
2016-04-15,1,4796.305085,-41.74159508,71.66666667,-0.17,-0.605778192,0.84317032,3.701799486,1.742627346
2016-04-18,0,0,-29.46089333,70,-0.03,0.278810409,-0.764655905,0.409626216,-0.471380471
2016-04-19,1,16110.4,49.03081105,87.5,-0.58,-0.607760636,0.380871773,-1.139306059,-1.296043656
2016-04-20,1,5271.375,21.88860926,74.16666667,0.02,1.292108906,-1.242502142,1.429300664,-0.273597811
2016-04-21,1,451.6,-34.17879418,95.83333333,-0.27,-0.231267345,-0.128700129,1.260080645,-2.668539326
2016-04-22,0,16131.6,-30.28990529,107.5,0.33,-0.418021366,-0.171895144,1.293532338,0.904662491
2016-04-25,1,1772.173913,6.208492146,60.83333333,-0.04,0.046425255,0.68288519,0.198609732,-0.069637883
2016-04-26,0,3813.04,70.81997863,67.5,-0.03,0.508083141,0.593975392,0.049627792,-0.41958042
2016-04-27,0,-7700.26087,-8.613782051,39.16666667,-0.09,-0.185099491,0.127118644,-0.149105368,-0.280504909
2016-04-28,0,-5326.615385,2.173132184,27.5,-0.32,-0.745920746,-0.127280441,-0.349127182,0.418994413
2016-04-29,0,-6353.962963,-37.93502554,-19.16666667,-0.63,-0.941176471,-0.769559641,-0.551654965,-1.058574453
2016-05-02,0,-3763.636364,0.683801618,-56.66666667,-0.16,-0.047080979,0,-0.251382604,1.323119777
2016-05-03,1,27196,5.136415997,-42.5,0.04,-1.919385797,-0.214224507,-1.947719118,-1.412429379
2016-05-04,0,-490.4705882,21.31375342,-50.83333333,-0.12,1.790763431,0.384122919,0.255623722,1.048218029
2016-05-09,1,-827.3684211,-27.93489191,-42.5,-0.04,-0.855513308,1.097509498,-1.875,0.762829404
2016-05-10,1,-595.8,35.70889894,-52.5,0.16,0.142382534,0.961538462,-0.104275287,-2.560455192
2016-05-11,1,20365,-15.72224823,3.333333333,0.31,0.613207547,0.540540541,0.052110474,0.354358611
2016-05-12,0,3553.5,-28.20235433,18.33333333,-0.14,0.60947023,-0.417536534,1.031459515,0.563777308
2016-05-13,0,4088,-8.42357102,14.16666667,0.31,0.187178287,-0.461409396,-1.412133891,-1.284796574
2016-05-16,0,-9515,57.7575681,-6.666666667,-0.45,-0.375763269,0.831946755,-0.314795383,0.213675214
2016-05-17,1,3204.76,48.7993488,6.666666667,0.22,-0.329877474,0.702189178,-0.157645822,0.425531915
2016-05-18,0,4981,-38.01023506,38.33333333,0.14,-0.951474786,-0.53986711,0.833767587,-0.070972321
2016-05-19,0,316.9047619,-43.80258479,17.5,-0.04,-1.841085271,0.741962077,-0.41862899,-0.142146411
2016-05-20,1,-442.1,42.44080146,13.33333333,-0.26,-0.732064422,0.695865739,-0.578947368,0.77574048
2016-05-23,1,3683,2.440801457,10.83333333,0.49,1.300578035,-0.040950041,0.052603893,-0.07057163
2016-05-24,0,1144.117647,-43.01587302,25,-0.05,0.906921241,-0.659521847,0.782881002,0
2016-05-25,1,-4871,16.94316436,11.66666667,-0.15,-0.624399616,0.817661488,-1.10817942,-0.567778566
2016-05-26,1,4141.923077,-38.81887397,12.5,0.33,1.045627376,-0.658436214,2.670775552,0.070921986
2016-05-27,1,-1176.2,-37.65945368,14.16666667,-0.12,-0.621712099,-0.206185567,1.467611336,-0.714285714
2016-05-30,1,4877.6,15.63724961,24.16666667,0.16,0.428571429,-0.082542303,0,0.426742532
2016-05-31,1,2198.666667,-10.79243473,37.5,0.09,0.284900285,0.940310711,0.653594771,0.495399858
2016-06-01,0,0,22.42370033,39.16666667,0.11,0.754005655,0.040866367,1.192250373,2.685950413
2016-06-02,1,-2518,40.95516886,30.83333333,-0.09,0.235072873,-0.040883074,-1.054216867,0.137551582
2016-06-03,1,-235.952381,38.21423164,7.5,-0.16,0.046992481,-0.328137818,-0.911854103,-0.483759502
2016-06-07,1,5716.666667,-44.98767516,17.5,0.05,-0.047014575,-0.329218107,0.453857791,0.481430536
2016-06-08,0,5722.92,-36.86907418,21.66666667,0.2,0.561009818,-1.75879397,-1.484135107,-1.394700139
2016-06-09,1,13328,0.279015821,8.333333333,0.06,0.27972028,-0.589721988,0.356960734,-0.561009818
2016-06-10,0,421.0952381,35.54462626,15.83333333,-0.15,-0.327408793,-0.04214075,-0.461065574,0.070077085
2016-06-13,0,1864.090909,6.018224858,37.5,-0.09,0.650557621,0.794314381,-0.878552972,0.070028011
2016-06-14,0,-2552.307692,36.80743243,32.5,-0.31,-2.378686965,0.746887967,-2.707006369,-0.847457627
2016-06-15,0,912.8333333,31.599644,18.33333333,0.02,0.142517815,-0.041511,-1.782820097,-0.926585887
2016-06-16,0,-1858.5,-17.25243389,-15,-0.15,-0.573339704,0.207125104,-1.037117904,0.848056537
2016-06-17,1,-3128.727273,-5.906713165,-33.33333333,-0.28,-0.86746988,-0.415973378,-0.054614965,-1.725377426
2016-06-20,1,-805.8,-46.88920509,-55.83333333,0.09,-0.777076251,0.166112957,1.293800539,0.85531005
2016-06-21,0,1759.04,-50.1952129,-40.83333333,1.18,0.914340712,-0.964360587,3.031887088,0
2016-06-22,0,324.9333333,-25.81458227,-43.33333333,0.36,0.240038406,-0.421052632,0.052246604,0
2016-06-23,1,496.3846154,62.19035815,-25,0.06,-0.385542169,-0.042122999,0.726141079,0.355113636
2016-06-24,0,1342.142857,16.24966701,-2.5,0.62,-0.679281902,-0.380549683,0.258665287,-1.076812635
2016-06-27,1,-2244.203077,44.07997327,-160.8333333,-5.1,-5.475946776,2.554594149,-11.60508083,0.42887777
2016-06-28,0,10684,23.47844867,-85,-0.34,1.113360324,0.082338411,2.914798206,0.213980029
2016-06-29,1,3694.636364,-46.92022792,-72.5,1.05,1.642608263,-0.914000831,-0.224719101,0.567375887
2016-06-30,1,409.9090909,-10.90074442,-68.33333333,0.25,1.712328767,-0.795644891,1.548672566,-0.570613409
2016-07-01,1,-3939.08,-39.75930521,-75,-0.15,0.872938894,-0.844594595,1.685698749,0
2016-07-04,1,69068,-27.7010877,-55,0.02,1.622137405,-0.552016985,1.446945338,0.142450142
2016-07-05,0,6435,-27.60385619,142.5,0.3,0.474833808,0.084853627,0,0.847457627
2016-07-06,0,-2627.590909,34.24806093,54.16666667,-0.12,-0.095057034,0.883095038,-0.864864865,-0.141442716
2016-07-07,1,-2024.904762,67.83446992,-10,-0.31,-0.669856459,0.875364735,-2.720710716,0.841514727
2016-07-08,0,5532,22.16252156,2.5,0.08,1.69332079,-0.968013468,0.552181115,-0.564174894
2016-07-11,1,650.4761905,-30.81954237,20.83333333,-0.24,-0.710563714,0.460829493,0.165380375,0
2016-07-12,0,3875,-29.13598644,25.83333333,0.43,0.330500472,-1.101228293,1.359434475,0.281293952
2016-07-13,1,-4427.294118,-27.6873604,4.166666667,-0.02,0.047192072,0.084638172,1.182160129,0.140449438
2016-07-14,1,-189.08,21.4727773,40,-0.22,0.376116596,-0.212044105,2.052631579,1.589495508
2016-07-15,1,16683,-23.46236002,81.66666667,0.07,-0.424929178,-0.640204866,-0.582318687,-0.486111111
2016-07-18,1,2814.206897,-2.56493947,91.66666667,-0.17,-0.953288847,-0.385604113,1.254573968,-0.628930818
2016-07-19,0,2715.461538,3.454838812,79.16666667,0.2,0.332541568,0.171086399,0.674974039,0.069832402
2016-07-20,1,-5040.823529,25.93347129,43.33333333,-0.15,0.236966825,0,-0.417101147,-0.845070423
2016-07-21,1,1952.857143,14.76408512,44.16666667,-0.06,0.565504241,0.383468257,-0.788229112,0.210822207
2016-07-22,0,9352.571429,-24.82039732,56.66666667,0.08,0.32879286,-0.342026507,1.142857143,0.280308339
2016-07-25,1,3199,-1.434511435,61.66666667,0,-0.709555345,-0.128424658,0.05192108,-0.422237861
2016-07-26,0,0,50.70894424,55.83333333,-0.04,0.235960359,0.213583938,0.207253886,0.140548138
2016-07-27,1,8814.545455,-12.36295119,54.16666667,0.18,-0.426540284,-0.256959315,0.051786639,0.48951049
2016-07-28,0,4678.421053,12.5988173,70.83333333,0.27,-0.619933238,-0.085726532,0.103466115,-2.288984263
2016-07-29,0,335.7142857,-2.427637722,57.5,0.32,0.190385531,-0.821089023,0.820933812,0.142857143
2016-08-01,1,2462.782609,25.118411,30.83333333,0.07,0.473709143,-0.259965338,-0.567595459,0.213827512
2016-08-02,0,2992.92,-24.6891273,34.16666667,0.53,-0.76372315,-1.095050372,1.624365482,-1.299638989
2016-08-03,0,-13761,-30.14313499,-0.833333333,0.18,-0.91522158,0.087527352,-1.966873706,-0.654069767
2016-08-04,1,-3489.692308,42.46159111,-23.33333333,-0.05,-0.048192771,0.565709312,-2.168164992,0.864553314
2016-08-05,1,1115.333333,4.689129656,-30.83333333,0.1,0.288322922,-0.261780105,0.839014158,-0.361532899
2016-08-08,1,2008.461538,-43.57115316,-11.66666667,0.21,-1.068479845,-0.306345733,0.365726228,0.072254335
2016-08-09,0,2479.296296,-37.29869546,6.666666667,-0.08,0.866634569,-0.175361683,1.340206186,0.144300144
2016-08-10,1,-6948,-11.5484155,-12.5,-0.12,1.000953289,-0.307827617,-0.20661157,0.431034483
2016-08-11,0,1890.25,43.22119173,15.83333333,-0.06,1.686972821,-0.932090546,1.675977654,-0.215982721
2016-08-12,1,2384.571429,8.110623288,35,0.12,-1.233396584,0.353825741,-0.1525941,0.501432665
2016-08-16,1,0,3.088978266,36.66666667,-0.12,0.566037736,0.220653133,0.101626016,0.498930862
2016-08-17,0,1571.333333,-18.71756669,38.33333333,-0.07,-0.760456274,-0.845571874,0.050787202,2.569444444
2016-08-18,0,1602,-4.292049414,27.5,0.25,-0.573613767,1.404124616,-0.974358974,0.826446281
2016-08-19,0,252.8333333,38.37461725,30.83333333,0.07,0.570342205,0.043859649,-0.257069409,0.343170899
2016-08-22,0,-1680.8,18.85946574,27.5,-0.14,-0.19047619,0.869565217,-0.051440329,0.4101162
2016-08-23,1,3267,-4.46031746,25.83333333,-0.11,-1.941747573,0.776531493,-1.092043682,-0.618982118
2016-08-24,1,5665.909091,-10.88888889,22.5,0,0.242130751,-1.046207498,0.051975052,-0.414364641
2016-08-25,0,441.875,-31.30268199,15.83333333,0,-0.194080543,0.563502384,1.028806584,0.069013112
2016-08-26,0,-377.6666667,8.191985089,-4.166666667,0.1,-0.291970803,-0.522875817,0.511770727,-1.328671329
2016-08-29,0,1645,36.95324635,-8.333333333,0.06,-0.636630754,-0.218340611,-1.086394206,-0.280504909
2016-08-30,1,-1809.428571,5.286579683,-21.66666667,-0.17,-2.202202202,1.122625216,0.514668039,0.140056022
2016-08-31,0,526.6666667,-9.70406453,-19.16666667,0.04,0.299401198,-0.477223427,0.30785018,0.13986014
2016-09-01,0,32240.4,-61.45348837,-29.16666667,0.1,-0.501504514,-0.391986063,0.611932687,-0.140056022
2016-09-02,0,9683.571429,45.55924695,-39.16666667,0.31,1.6765286,0.433651344,0,1.03950104
2016-09-05,1,0,33.32481472,-32.5,0.06,0.392927308,-0.391815411,0.0509684,-1.334269663
2016-09-06,0,43313,9.969616946,-25,0.2,0.391389432,-1.011433597,1.9,0.210231254
2016-09-07,1,-6735.928571,-56.97390465,-32.5,-0.04,-0.442260442,-0.132100396,0.398406375,0.279524808
2016-09-08,0,3356.785714,-0.307237982,-14.16666667,0.12,-0.842418236,-1.293487957,-0.2997003,-0.845665962
2016-09-09,0,0,-31.84569952,-13.33333333,0.02,0.688976378,0.266903915,-0.2002002,-0.353606789
2016-09-12,0,1180,64.84126984,-9.166666667,0.01,-0.893743793,0.486941124,-0.301204819,0.422535211
2016-09-13,1,-6059.541667,40.66544567,-38.33333333,-0.65,-2.337398374,1.224311325,-1.89258312,-1.283880171
2016-09-19,1,-6960,28.06582307,-47.5,-0.44,0.706357215,0.694745983,0.76142132,0
2016-09-20,0,373.8,-96.42564332,-25.83333333,0.51,0.651629073,-0.130434783,-2.444097764,0.567375887
2016-09-21,1,3173,-6.941645429,-37.5,0.32,1.237623762,0.173611111,0.722767166,0.983146067
2016-09-22,1,17077,39.9885156,-24.16666667,0.51,0.63944909,0.130039012,-0.885416667,-0.564971751
2016-09-23,1,-127.5428571,-16.49989794,-36.66666667,0.03,1.022395326,-1.629955947,0.877645844,-0.568181818
2016-09-26,0,7444.888889,-25.98845198,22.5,0.01,0.387972842,-0.088183422,1.725012684,0.494699647
2016-09-27,0,-1025.217391,-18.69397759,15,-0.12,-0.782013685,0.438981563,-0.203355363,-0.999286224
2016-09-28,0,6701.518519,61.50804261,10.83333333,0.67,0.437956204,-0.975177305,-1.496388029,-0.863930886
2016-09-29,1,6507.454545,24.68972777,0,-0.05,-0.439882698,0,-0.310559006,0.071942446
2016-09-30,0,23033.14286,-10.62723304,-5.833333333,0.19,0.292397661,0.17699115,1.729399797,0.643316655
2016-10-04,1,-11003,-33.42867691,-23.33333333,-0.44,-1.785714286,0.308778121,-2.076843198,-0.214899713
2016-10-05,0,-1810.947368,36.38734041,-58.33333333,-0.12,0.493583416,0.526546731,0.10373444,0.781805259
2016-10-06,1,38733.88235,-68.17555938,-46.66666667,0.01,-0.496031746,0.567190227,1.280081925,-0.643776824
2016-10-07,0,3190.6,11.9047619,-38.33333333,0,-0.448430493,-0.087336245,0.661241099,0.427350427
2016-10-10,1,-4494.545455,-17.72200772,-45,-0.32,-1.568825911,0.217864924,-0.203873598,0.354861604
2016-10-11,1,3749,46.06606607,-38.33333333,0.37,0.252397779,-0.613765892,-0.409416581,0.353606789
2016-10-12,0,-580.4347826,-42.93175528,-9.166666667,-0.17,-0.60944642,1.084128361,0.458481915,0.841514727
2016-10-13,0,55.15384615,30.89790158,0.833333333,0.17,0.050761421,0.259515571,0,0.140056022
2016-10-14,1,-15432.62745,31.23140816,-36.66666667,-0.58,-1.285347044,0.942587832,-0.56352459,0.418410042
2016-10-17,0,-213.6666667,30.45196399,-37.5,0.02,0.154004107,-0.214684414,-0.256805342,0.208768267
2016-10-18,1,-2924.1,-69.15957874,-46.66666667,-0.44,-0.360638846,0.639931741,0.663265306,0
2016-10-19,1,3135,-3.521606213,-36.66666667,0.52,0.56352459,-0.773860705,-0.307062436,-0.279134682
2016-10-20,1,5057,-51.57377927,-30,0.14,0.102354145,-0.475161987,1.213346815,-0.069832402
2016-10-21,0,553,24.81136599,-14.16666667,0.24,-0.514403292,0.258509263,0.151438667,-0.069881202
2016-10-24,1,-164.7058824,3.34486272,12.5,-0.1,-0.621118012,0.556983719,0.751503006,0.417536534
2016-10-25,1,5540,68.99801587,19.16666667,0.24,-1.046025105,-0.214684414,0.2997003,1.304945055
2016-10-26,0,2012.8,-51.04166667,40.83333333,0.09,-0.843881857,0.214224507,0.099800399,0.273972603
2016-10-27,0,150.8571429,1.231060606,18.33333333,-0.14,0.367840252,0,-0.350525789,-0.689655172
2016-10-28,0,-861.3846154,32.03227931,13.33333333,-0.2,2.109053498,0.638569604,-0.503271263,0.137741047
2016-10-31,1,-1332.066667,39.42358366,-5,-0.04,-1.780104712,0.25477707,0.749250749,0.343170899
2016-11-01,0,2944,-15.11942709,22.5,0.43,-1.165254237,-0.12755102,-0.502008032,-0.413507926
2016-11-02,0,7021,-46.08228144,20,0.4,0.158646219,-0.213037921,-0.555275114,0.752393981
2016-11-03,0,-3701.657143,38.45878136,-14.16666667,-0.33,-2.493224932,0.677105375,-0.865580448,0
2016-11-04,0,251.7142857,35.12544803,-18.33333333,-0.04,0.539083558,-0.853606487,-1.028806584,0.0683527
2016-11-07,1,348.4444444,-27.77777778,-17.5,0.15,-0.596529284,0.46728972,-0.154559505,0.340599455
2016-11-08,1,1160,-48.78787879,-7.5,1.27,1.914893617,-0.085034014,-0.883575884,-0.479123888
2016-11-09,0,2539,-54.24242424,-3.333333333,0.1,0.159320234,-0.771208226,1.181304571,0.068399453
2016-11-10,1,-3397.429864,46.99574935,-189.1666667,-4.12,-3.461538462,1.269035533,-3.398831652,-0.06844627
2016-11-11,1,10178.77778,39.4762046,-111.6666667,0.37,3.601694915,0.211059519,5.234021137,1.880456682
2016-11-14,1,8661,-13.88248186,-99.16666667,0.18,-0.908605024,1.08559499,-0.505816894,1.521164021
2016-11-15,0,12081,12.75955604,-90.83333333,0.6,-0.483351235,0.581154006,0.352822581,0.526315789
2016-11-16,1,-3307.870968,11.78671763,-111.6666667,-0.01,-0.976138829,-0.124688279,-0.050428643,-0.197758734
2016-11-17,0,157.3157895,-4.65667033,-111.6666667,0.04,1.600853789,-0.083194676,0.050403226,0.328515112
2016-11-18,1,587,-59.20365651,67.5,0.17,0,0.537856847,-0.4048583,-0.727994705
2016-11-21,1,867.4615385,17.52917058,24.16666667,-0.11,-1.297297297,0.494030465,-0.101317123,0.592105263
2016-11-22,1,5510.526316,-6.773548525,25.83333333,0.26,-1.816180517,0.287356322,-0.714285714,0.393184797
2016-11-23,1,1861.95122,-24.5275505,40,0.17,0.601750547,-0.911350456,0.910010111,0.651041667
2016-11-24,0,2451.851852,-13.57452872,80,0.19,-1.274238227,0.124120811,0.302419355,0
2016-11-25,1,881.1764706,31.91982732,55.83333333,-0.01,-0.950782998,0.247626909,-0.4048583,0.389105058
2016-11-28,1,2467.347826,37.15825814,66.66666667,0.18,0.334448161,-0.248241622,-0.050632911,0.258732212
2016-11-29,0,5206.882353,-17.30992091,68.33333333,-0.09,-0.899887514,-0.6244796,0.55387714,1.150895141
2016-11-30,1,-345.5483871,10.31634171,42.5,-0.02,0.614868642,-0.083333333,-1.22324159,0.508905852
2016-12-01,0,2408.823529,35.52188552,32.5,0.09,-0.392817059,0.041649313,0.152671756,-0.319081047
2016-12-02,0,111.04,-32.32323232,0.833333333,0.1,0.05608525,-0.08336807,0.304414003,0.191082803
