DATE,Price,Q-stick,NAV,ETF,Bull,Gold,WTI,Dollar,KODEX,
2016-04-07,1,-30.83333333,-2.39,0.33,1.237107,0.36900369,1.529902643,0,0.508854061,
2016-04-08,0,-38.33333333,0.67,0.09,1.242077,0.052687039,2.309782609,-0.338123415,0.061025224,
2016-04-11,1,-32.5,-1.23,0.14,1.241737,0.419727177,-0.409276944,0.168776371,-0.203832042,
2016-04-12,1,-5.833333333,1.4,-0.12,1.244973,0.987012987,2.913907285,-0.636942675,0.081466395,
2016-04-14,1,6.666666667,0.42,-0.06,1.244653,0.465356774,1.820546164,-0.12755102,0.788037987,
2016-04-15,1,45,3.92,-0.13,1.304493,-1.415836392,1.913265306,0.84317032,2,
2016-04-18,0,31.66666667,0.69,-0.41,1.302049,-0.421274355,0,-0.764655905,-0.079270709,
2016-04-19,1,29.16666667,-0.21,-1.32,1.291418,0.157728707,-6.089309878,0.380871773,-0.338039372,
2016-04-20,1,22.5,0.34,-0.23,1.268459,0.105042017,3.018372703,-1.242502142,0.138999206,
2016-04-21,1,4.166666667,1.61,-0.56,1.244054,0.988039522,0.392156863,-0.128700129,-0.338712891,
2016-04-22,1,-1.666666667,0.94,-0.19,1.2467,0.56876939,5.43881335,-0.171895144,0.771055753,
2016-04-25,1,-41.66666667,0.27,-0.26,1.2467,-0.572022881,-0.747198007,0.68288519,-0.37705894,
2016-04-26,0,-20,-0.32,0.1,1.273937,-0.839014158,-0.752823087,0.593975392,-0.119213193,
2016-04-27,0,-5,-0.75,0.71,1.27565,0,0.375,0.127118644,0.297147385,
2016-04-28,0,-8.333333333,0.18,0.18,1.27565,0.469728601,2.200488998,-0.127280441,0,
2016-04-29,0,-10,0.35,-0.72,1.27565,0.725388601,1.088270859,-0.769559641,-2.894415002,
2016-05-02,0,-17.5,-0.13,-0.84,1.27565,1.731160896,2.014218009,0,-0.327198364,
2016-05-03,1,-42.5,-2.97,0.25,1.27565,1.504513541,-1.809408926,-0.214224507,-0.762415001,
2016-05-04,0,-50.83333333,0.32,0.19,1.275488,-0.402819738,-0.363196126,0.384122919,0.308134758,
2016-05-09,0,-60.83333333,-1.93,0.28,1.270886,-0.709939148,-2.101359703,1.097509498,-0.516208961,
2016-05-10,1,-52.5,-0.97,1.15,1.270886,-0.050735667,2.29468599,0.961538462,-0.165460186,
2016-05-11,1,-28.33333333,0.64,0.56,1.269138,-1.076923077,-2.729528536,0.540540541,0.391429749,
2016-05-12,0,-0.833333333,0.89,0.71,1.273674,0.408580184,1.466992665,-0.417536534,-0.103114044,
2016-05-13,0,33.33333333,-0.77,0.08,1.273674,0.102040816,2.965599051,-0.461409396,-0.22736668,
2016-05-16,0,32.5,-0.7,0.47,1.291925,0.203665988,0.940070505,0.831946755,-0.791666667,
2016-05-17,1,30,0.74,-0.43,1.283537,0.152516523,1.046511628,0.702189178,0.145620969,
2016-05-18,0,43.33333333,-0.11,0.52,1.265138,0.202942669,1.938426454,-0.53986711,0.062370062,
2016-05-19,0,35,-0.4,0.51,1.260282,-0.56122449,0.454029512,0.741962077,-0.564499268,
2016-05-20,1,15,0.63,-0.7,1.262109,-1.344364012,-2.204176334,0.695865739,-0.272536688,
2016-05-23,1,20.83333333,-1.2,0.56,1.250082,-0.207253886,2.045454545,-0.040950041,0,
2016-05-24,0,14.16666667,1.43,-0.07,1.257765,-0.20768432,-1.499423299,-0.659521847,0.271795944,
2016-05-25,1,15.83333333,-0.79,-0.38,1.257765,-0.3125,-0.115473441,0.817661488,-0.715940198,
2016-05-26,1,-4.166666667,2.62,-0.27,1.279773,-1.587301587,2.257336343,-0.658436214,1.391196013,
2016-05-27,0,-17.5,1.74,-0.51,1.279773,0.36900369,1.116071429,-0.206185567,-0.187226961,
2016-05-30,1,-23.33333333,0.38,-0.89,1.279865,-0.850611377,-1.242937853,-0.082542303,0.517384106,
2016-05-31,1,-31.66666667,0.24,-0.47,1.296346,-1.56587473,0,0.940310711,-0.22816843,
2016-06-01,0,-24.16666667,0.37,0.35,1.298491,0.697050938,1.006711409,0.040866367,0.802469136,
2016-06-02,0,-40.83333333,-0.87,0.18,1.298491,0.373931624,-1.360544218,-0.040883074,0.061690315,
2016-06-03,1,-35,-0.8,0.07,1.308845,-0.160513644,0.338983051,-0.328137818,0.184729064,
2016-06-07,0,-15.83333333,-0.09,0.61,1.298038,-0.322061192,0.337837838,-0.329218107,0.163934426,
2016-06-08,1,-43.33333333,-1,0.14,1.250778,2.562761506,0.892857143,-1.75879397,1.31445905,
2016-06-09,0,-57.5,1.27,-0.75,1.249674,0.520291363,1.861993428,-0.589721988,1.001001001,
2016-06-10,0,-68.33333333,-0.67,-0.54,1.249674,0.927835052,1.827956989,-0.04214075,-0.040056079,
2016-06-13,0,-64.16666667,-0.99,-0.43,1.249674,0.563813429,-1.528384279,0.794314381,-0.402171727,
2016-06-14,0,-76.66666667,-2.63,-0.44,1.269565,1.115053218,-2.921348315,0.746887967,-2.114989733,
2016-06-15,0,-83.33333333,-1.99,-0.2,1.269565,-0.305033045,-0.451467269,-0.041511,-0.329625052,
2016-06-16,0,-74.16666667,-1.93,0.72,1.269565,0.806858296,-1.722158439,0.207125104,-0.041220115,
2016-06-17,1,-74.16666667,1.14,-0.47,1.269565,1.047904192,-0.926998841,-0.415973378,-0.768431983,
2016-06-20,1,-61.66666667,-0.33,1.18,1.24647,-1.212121212,-0.582750583,0.166112957,0.165871864,
2016-06-21,1,-45.83333333,1.07,3.24,1.278188,-0.405679513,2.941176471,-0.964360587,1.370143149,
2016-06-22,1,-87.5,3.28,0.01,1.274778,0.353713997,1.007838746,-0.421052632,0,
2016-06-23,1,-87.5,0.87,-0.13,1.275881,-1.905252317,0.997782705,-0.042122999,0.569337129,
2016-06-24,0,-64.16666667,0.34,-0.21,1.238826,0.359158543,-0.894854586,-0.380549683,0.060963219,
2016-06-27,1,-255,2.02,-12.36,1.246796,4.367026497,-3.712296984,2.554594149,-3.317237035,
2016-06-28,0,-247.5,-8.67,-1.17,1.202217,0.682261209,0.346820809,0.082338411,0.272194305,
2016-06-29,1,-258.3333333,-2.76,1.41,1.204429,-0.934579439,-0.933488915,-0.914000831,0.250626566,
2016-06-30,1,-193.3333333,2.26,0.73,1.210144,0.196367207,2.502844141,-0.795644891,1.176470588,
2016-07-01,1,-213.3333333,2.63,-0.16,1.212754,-0.592592593,1.897321429,-0.844594595,0.717213115,
2016-07-04,0,-195,1.17,0.13,1.231825,1.507782101,-1.242937853,-0.552016985,0.81300813,
2016-07-05,0,0,0.6,-0.46,1.239748,0.963391137,1.227678571,0.084853627,0.344338667,
2016-07-06,0,-24.16666667,-0.69,-0.63,1.239748,-0.1447178,-1.70261067,0.883095038,-0.121679173,
2016-07-07,1,-43.33333333,-1.71,-1.58,1.239748,1.846590909,-2.085747393,0.875364735,-2.04884106,
2016-07-08,1,-45.83333333,-1.78,0.76,1.233948,-0.047370914,0.576036866,-0.968013468,1.125434827,
2016-07-11,1,-26.66666667,0.63,0.29,1.233948,-0.811843362,-2.479338843,0.460829493,-0.514191691,
2016-07-12,1,-38.33333333,2.08,-0.39,1.263984,0.285714286,-0.11820331,-1.101228293,1.459262262,
2016-07-13,1,-43.33333333,1.66,-0.85,1.247153,-0.71942446,-0.355871886,0.084638172,0,
2016-07-14,0,-17.5,1.66,-0.42,1.215645,-1.01744186,1.288056206,-0.212044105,0.664384941,
2016-07-15,1,18.33333333,-0.24,-0.76,1.222126,-0.437956204,-0.945626478,-0.640204866,0.180868167,
2016-07-18,1,10,1.24,-0.73,1.216865,0.048638132,-0.236966825,-0.385604113,0.49990002,
2016-07-19,0,19.16666667,-0.15,0.1,1.208062,-0.488758553,0.588928151,0.171086399,0.179640719,
2016-07-20,0,16.66666667,-0.32,0,1.208062,0.048851979,-1.433691756,0,-0.13991605,
2016-07-21,1,27.5,-0.61,-0.17,1.208062,-0.244857982,0,0.383468257,-0.18021626,
2016-07-22,1,6.666666667,1.22,-0.22,1.207657,-0.889328063,0.946745562,-0.342026507,0.100020004,
2016-07-25,1,-6.666666667,0.03,-0.2,1.207657,0.784313725,-1.318944844,-0.128424658,-0.060048038,
2016-07-26,1,-9.166666667,0.14,-0.14,1.212663,-0.740740741,-1.213592233,0.213583938,0.060012002,
2016-07-27,1,-23.33333333,0.02,-0.1,1.210913,0.098667982,-0.856793146,-0.256959315,0.87249653,
2016-07-28,1,-5.833333333,0.2,-0.2,1.210913,-0.098765432,-0.615763547,-0.085726532,-0.05952381,
2016-07-29,0,5.833333333,0.7,-0.07,1.187224,1.651287033,-2.525252525,-0.821089023,-0.258603541,
2016-08-01,1,17.5,-1.08,0.45,1.187224,-0.048590865,-1.799485861,-0.259965338,-0.079633685,
2016-08-02,0,49.16666667,0.79,1.31,1.186976,0.483558994,1.767676768,-1.095050372,0.809636651,
2016-08-03,0,21.66666667,-0.8,0.15,1.186976,0.529100529,-2.457956016,0.087527352,-0.776119403,
2016-08-04,1,25,-2.01,0.04,1.186976,0.952834683,-1.443569554,0.565709312,-1.290062487,
2016-08-05,1,21.66666667,0.14,0.74,1.180406,-1.254220936,1.930501931,-0.261780105,0.221238938,
2016-08-08,1,18.33333333,0.73,0.38,1.175258,1.097328244,0.766283525,-0.306345733,1.074413052,
2016-08-09,0,15.83333333,1.44,0.3,1.175483,-2.09449586,0.508259212,-0.175361683,0.750394945,
2016-08-10,1,-15.83333333,0.31,-0.21,1.175843,-0.587947085,0.505689001,-0.307827617,0.76425632,
2016-08-11,0,12.5,1.53,-0.04,1.147937,1.780558229,0,-0.932090546,-0.334250885,
2016-08-12,1,32.5,-0.35,0.16,1.150464,-0.922778048,-0.508259212,0.353825741,0.117831893,
2016-08-16,1,20.83333333,1,-0.73,1.148182,-0.145914397,2.719406675,0.220653133,0.352250489,
2016-08-17,0,-7.5,-0.08,-0.6,1.133804,0.772200772,2.05811138,-0.845571874,-0.058742902,
2016-08-18,0,-21.66666667,-1,-0.57,1.133804,-0.582524272,1.666666667,1.404124616,-0.078385264,
2016-08-19,0,-17.5,-1.15,0.34,1.134927,0.627110468,1.060070671,0.043859649,0.719844358,
2016-08-22,0,-20,0.46,-0.17,1.134357,0,2.749140893,0.869565217,0.232919255,
2016-08-23,1,-47.5,-0.9,-0.36,1.134357,-1.369193154,-1.511627907,0.776531493,-0.585708708,
2016-08-24,1,-50.83333333,-0.27,-0.04,1.13586,0.341130604,-1.534828808,-1.046207498,0.524373665,
