DATE,Price,WTI Enhanced(H) Volume,AD,STO,Force,Q-stick,Q-stick,CCI,Company,Foreign,Person,NAV,ETF,Bull,
2016-04-07,1,827919,413959.5,7.622114868,-44616135,0.833333333,30,374.7221529,7,2,818,-0.43,2.11,1.092946,
2016-04-08,0,943867,629244.6667,-71.87490133,-24121876,-1.666666667,5,350.1901458,239,57,648,4.17,0.35,1.111129,
2016-04-11,1,402624,402624,-39.32225064,-23575222,7.5,30,-43.30963251,7,0,393,-1.36,1.31,1.111275,
2016-04-12,1,2263467,-2263467,-18.2900838,46453836,5.833333333,-40,131.0651286,1666,52,545,5.38,-0.97,1.130643,
2016-04-14,1,2129224,304174.8571,-5.157106953,103550386,7.5,10,112.3015071,1761,27,341,1.92,-1.04,1.127845,
2016-04-15,0,2861780,572356,-22.95018163,137369977,7.5,10,371.889576,2268,2,590,2.69,-1.76,1.135629,
2016-04-18,0,1158414,-231682.8,2.774456052,121324238,2.5,0,272.9636242,718,0,441,-1.09,-0.68,1.143314,
2016-04-19,1,2593179,-1111362.429,80.68600243,5839055,0.833333333,-5,193.1092672,231,116,2205,-1.9,-4.56,1.124267,
2016-04-20,1,2273371,-909348.4,57.4839443,8330314,-9.166666667,-30,156.6159142,1729,23,522,-0.68,-0.92,1.0803,
2016-04-21,1,1442874,-1122235.333,-62.29383348,-17150200,-7.5,-30,287.8919406,929,1,513,2.43,-2.89,1.101225,
2016-04-22,0,4467040,4467040,-57.90413943,136472860,-1.666666667,45,331.3220479,3802,26,639,3.28,-0.56,1.123381,
2016-04-25,0,634997,493886.5556,-32.96296296,132662878,2.5,35,397.9337609,350,0,284,-1.75,0.46,1.123381,
2016-04-26,1,515031,-515031,95.40740741,246265747,-1.666666667,-25,229.3416081,101,0,413,1.33,-1.6,1.125335,
2016-04-27,1,720234,360117,53.92592593,196138916,1.666666667,15,96.62415775,326,39,355,-1.33,0.1,1.122898,
2016-04-28,1,2241618,-1120809,-52.96296296,232159418,6.666666667,0,-40.55253538,1842,11,388,2.41,-0.06,1.122898,
2016-04-29,1,1350974,-1350974,-50.82082082,47768424,9.166666667,-15,93.98628476,1014,9,325,2.49,-1.42,1.122898,
2016-05-02,0,1841118,1380838.5,-35.53768054,82877412,5.833333333,25,-121.8457394,1411,4,424,1.04,-0.43,1.122898,
2016-05-03,0,577940,-400112.3077,-10.2995853,77298498,-9.166666667,-55,-10.55537963,141,0,435,-0.47,-1.74,1.122898,
2016-05-04,0,466198,466198,89.95584254,73739202,3.333333333,50,161.340229,130,0,320,-2.3,0.21,1.126843,
2016-05-09,1,604923,-302461.5,34.27267459,23106387,-6.666666667,-45,181.0653456,27,4,573,-1.69,-0.16,1.140757,
2016-05-10,0,1623757,-811878.5,16.69564377,41799004,-7.5,-5,211.2809832,1174,30,420,1.72,0.46,1.140757,
